frame,track_id,pred,conf,probs
218,1,불확실,0.338,"[0.338, 0.327, 0.045, 0.29]"
219,1,불확실,0.341,"[0.341, 0.323, 0.043, 0.292]"
220,1,불확실,0.349,"[0.346, 0.349, 0.031, 0.274]"
221,1,불확실,0.349,"[0.346, 0.349, 0.031, 0.274]"
222,1,불확실,0.348,"[0.346, 0.348, 0.031, 0.274]"
223,1,불확실,0.347,"[0.347, 0.347, 0.031, 0.275]"
224,1,불확실,0.347,"[0.347, 0.347, 0.031, 0.275]"
225,1,불확실,0.348,"[0.348, 0.347, 0.031, 0.275]"
226,1,불확실,0.348,"[0.348, 0.346, 0.031, 0.275]"
227,1,불확실,0.349,"[0.349, 0.346, 0.031, 0.274]"
228,1,불확실,0.349,"[0.349, 0.346, 0.03, 0.274]"
229,1,불확실,0.35,"[0.35, 0.346, 0.03, 0.274]"
230,1,assault,0.35,"[0.35, 0.345, 0.03, 0.274]"
231,1,assault,0.35,"[0.35, 0.345, 0.03, 0.274]"
232,1,assault,0.35,"[0.35, 0.345, 0.03, 0.274]"
233,1,assault,0.35,"[0.35, 0.346, 0.03, 0.274]"
234,1,불확실,0.35,"[0.35, 0.347, 0.03, 0.273]"
235,1,불확실,0.349,"[0.348, 0.349, 0.03, 0.273]"
236,1,불확실,0.35,"[0.347, 0.35, 0.03, 0.272]"
237,1,falldown,0.351,"[0.347, 0.351, 0.03, 0.272]"
238,1,falldown,0.351,"[0.346, 0.351, 0.03, 0.272]"
239,1,falldown,0.352,"[0.346, 0.352, 0.031, 0.272]"
240,1,falldown,0.352,"[0.346, 0.352, 0.031, 0.272]"
241,1,falldown,0.352,"[0.346, 0.352, 0.031, 0.272]"
242,1,falldown,0.351,"[0.346, 0.351, 0.031, 0.272]"
243,1,falldown,0.351,"[0.346, 0.351, 0.031, 0.271]"
244,1,falldown,0.351,"[0.347, 0.351, 0.031, 0.271]"
245,1,falldown,0.351,"[0.347, 0.351, 0.031, 0.271]"
246,1,falldown,0.351,"[0.348, 0.351, 0.03, 0.271]"
247,1,falldown,0.351,"[0.348, 0.351, 0.03, 0.271]"
248,1,falldown,0.35,"[0.348, 0.35, 0.03, 0.271]"
249,1,불확실,0.35,"[0.349, 0.35, 0.03, 0.271]"
250,1,불확실,0.349,"[0.349, 0.349, 0.03, 0.272]"
251,1,불확실,0.349,"[0.349, 0.349, 0.031, 0.272]"
252,1,assault,0.35,"[0.35, 0.347, 0.031, 0.273]"
253,1,assault,0.351,"[0.351, 0.345, 0.031, 0.273]"
254,1,assault,0.353,"[0.353, 0.343, 0.03, 0.273]"
255,1,assault,0.354,"[0.354, 0.342, 0.03, 0.274]"
256,1,assault,0.355,"[0.355, 0.342, 0.03, 0.274]"
257,1,assault,0.356,"[0.356, 0.341, 0.03, 0.273]"
258,1,assault,0.356,"[0.356, 0.341, 0.03, 0.273]"
259,1,assault,0.356,"[0.356, 0.342, 0.029, 0.273]"
260,1,assault,0.355,"[0.355, 0.343, 0.029, 0.273]"
261,1,assault,0.354,"[0.354, 0.344, 0.03, 0.273]"
262,1,assault,0.354,"[0.354, 0.344, 0.03, 0.273]"
263,1,assault,0.354,"[0.354, 0.344, 0.03, 0.273]"
264,1,assault,0.354,"[0.354, 0.343, 0.03, 0.273]"
265,1,assault,0.355,"[0.355, 0.342, 0.03, 0.273]"
266,1,assault,0.356,"[0.356, 0.342, 0.03, 0.273]"
267,1,assault,0.356,"[0.356, 0.341, 0.03, 0.273]"
268,1,assault,0.357,"[0.357, 0.34, 0.03, 0.273]"
269,1,assault,0.357,"[0.357, 0.339, 0.03, 0.274]"
270,1,assault,0.358,"[0.358, 0.338, 0.029, 0.274]"
271,1,assault,0.359,"[0.359, 0.337, 0.029, 0.275]"
272,1,assault,0.359,"[0.359, 0.336, 0.029, 0.276]"
273,1,assault,0.36,"[0.36, 0.335, 0.029, 0.276]"
274,1,assault,0.361,"[0.361, 0.334, 0.029, 0.277]"
275,1,assault,0.361,"[0.361, 0.334, 0.029, 0.277]"
276,1,assault,0.361,"[0.361, 0.334, 0.029, 0.277]"
277,1,assault,0.361,"[0.361, 0.333, 0.029, 0.277]"
278,1,assault,0.361,"[0.361, 0.333, 0.029, 0.277]"
279,1,assault,0.361,"[0.361, 0.333, 0.029, 0.277]"
280,1,assault,0.361,"[0.361, 0.333, 0.029, 0.277]"
281,1,assault,0.362,"[0.362, 0.332, 0.029, 0.277]"
282,1,assault,0.362,"[0.362, 0.331, 0.029, 0.277]"
283,1,assault,0.363,"[0.363, 0.33, 0.029, 0.278]"
284,1,assault,0.364,"[0.364, 0.329, 0.029, 0.278]"
285,1,assault,0.364,"[0.364, 0.329, 0.029, 0.278]"
286,1,assault,0.365,"[0.365, 0.328, 0.029, 0.279]"
287,1,assault,0.365,"[0.365, 0.328, 0.029, 0.279]"
288,1,assault,0.366,"[0.366, 0.326, 0.029, 0.279]"
289,1,normal,0.399,"[0.346, 0.234, 0.02, 0.399]"
290,1,normal,0.395,"[0.343, 0.24, 0.021, 0.395]"
291,1,normal,0.392,"[0.341, 0.247, 0.021, 0.392]"
292,1,normal,0.388,"[0.338, 0.252, 0.022, 0.388]"
293,1,normal,0.386,"[0.335, 0.257, 0.022, 0.386]"
294,1,normal,0.384,"[0.332, 0.261, 0.022, 0.384]"
295,1,normal,0.382,"[0.33, 0.265, 0.023, 0.382]"
296,1,normal,0.381,"[0.328, 0.267, 0.023, 0.381]"
297,1,normal,0.381,"[0.327, 0.269, 0.023, 0.381]"
298,1,normal,0.38,"[0.327, 0.27, 0.024, 0.38]"
299,1,normal,0.38,"[0.326, 0.27, 0.024, 0.38]"
300,1,normal,0.381,"[0.326, 0.27, 0.024, 0.381]"
301,1,normal,0.382,"[0.325, 0.269, 0.024, 0.382]"
302,1,normal,0.384,"[0.325, 0.267, 0.024, 0.384]"
303,1,normal,0.387,"[0.324, 0.265, 0.024, 0.387]"
304,1,normal,0.39,"[0.322, 0.263, 0.024, 0.39]"
305,1,normal,0.395,"[0.318, 0.261, 0.025, 0.395]"
306,1,normal,0.402,"[0.314, 0.258, 0.026, 0.402]"
307,1,normal,0.409,"[0.309, 0.254, 0.028, 0.409]"
308,1,normal,0.416,"[0.302, 0.248, 0.034, 0.416]"
309,1,normal,0.416,"[0.302, 0.247, 0.034, 0.416]"
310,1,assault,0.356,"[0.356, 0.279, 0.133, 0.232]"
311,1,불확실,0.346,"[0.346, 0.283, 0.149, 0.223]"
312,1,불확실,0.335,"[0.335, 0.285, 0.166, 0.214]"
313,1,불확실,0.325,"[0.325, 0.285, 0.184, 0.207]"
314,1,불확실,0.315,"[0.315, 0.284, 0.202, 0.2]"
315,1,불확실,0.304,"[0.304, 0.282, 0.221, 0.193]"
316,1,불확실,0.293,"[0.293, 0.278, 0.242, 0.186]"
317,1,불확실,0.282,"[0.282, 0.274, 0.264, 0.18]"
318,1,불확실,0.286,"[0.273, 0.268, 0.286, 0.174]"
319,1,불확실,0.309,"[0.262, 0.262, 0.309, 0.167]"
320,1,불확실,0.333,"[0.253, 0.254, 0.333, 0.16]"
321,1,intrusion,0.357,"[0.244, 0.245, 0.357, 0.154]"
322,1,intrusion,0.382,"[0.235, 0.236, 0.382, 0.147]"
323,1,intrusion,0.406,"[0.227, 0.227, 0.406, 0.14]"
324,1,intrusion,0.431,"[0.219, 0.217, 0.431, 0.133]"
325,1,intrusion,0.456,"[0.211, 0.206, 0.456, 0.126]"
326,1,intrusion,0.486,"[0.203, 0.193, 0.486, 0.118]"
327,1,intrusion,0.525,"[0.193, 0.173, 0.525, 0.109]"
328,1,intrusion,0.583,"[0.178, 0.144, 0.583, 0.095]"
329,1,intrusion,0.653,"[0.159, 0.11, 0.653, 0.078]"
330,1,intrusion,0.652,"[0.16, 0.11, 0.652, 0.078]"
331,1,intrusion,0.652,"[0.16, 0.11, 0.652, 0.078]"
332,1,intrusion,0.652,"[0.159, 0.11, 0.652, 0.078]"
333,1,intrusion,0.655,"[0.158, 0.11, 0.655, 0.078]"
334,1,intrusion,0.657,"[0.157, 0.108, 0.657, 0.078]"
335,1,intrusion,0.658,"[0.157, 0.108, 0.658, 0.078]"
336,1,intrusion,0.656,"[0.157, 0.108, 0.656, 0.078]"
337,1,intrusion,0.656,"[0.157, 0.108, 0.656, 0.079]"
338,1,intrusion,0.654,"[0.158, 0.109, 0.654, 0.079]"
339,1,intrusion,0.651,"[0.16, 0.11, 0.651, 0.08]"
340,1,intrusion,0.648,"[0.161, 0.112, 0.648, 0.08]"
341,1,intrusion,0.646,"[0.162, 0.113, 0.646, 0.08]"
342,1,intrusion,0.644,"[0.162, 0.113, 0.644, 0.08]"
343,1,intrusion,0.644,"[0.162, 0.114, 0.644, 0.081]"
344,1,intrusion,0.645,"[0.161, 0.113, 0.645, 0.081]"
345,1,intrusion,0.646,"[0.16, 0.113, 0.646, 0.081]"
346,1,intrusion,0.647,"[0.16, 0.113, 0.647, 0.081]"
347,1,intrusion,0.648,"[0.159, 0.112, 0.648, 0.081]"
348,1,intrusion,0.596,"[0.167, 0.132, 0.596, 0.104]"
349,1,intrusion,0.566,"[0.172, 0.148, 0.566, 0.114]"
350,1,intrusion,0.54,"[0.176, 0.165, 0.54, 0.119]"
351,1,intrusion,0.524,"[0.176, 0.179, 0.524, 0.121]"
352,1,intrusion,0.509,"[0.176, 0.192, 0.509, 0.123]"
353,1,intrusion,0.496,"[0.175, 0.204, 0.496, 0.124]"
354,1,intrusion,0.488,"[0.172, 0.213, 0.488, 0.126]"
355,1,intrusion,0.474,"[0.172, 0.224, 0.474, 0.13]"
356,1,intrusion,0.41,"[0.202, 0.269, 0.41, 0.119]"
357,1,intrusion,0.39,"[0.21, 0.292, 0.39, 0.108]"
358,1,intrusion,0.383,"[0.209, 0.306, 0.383, 0.102]"
359,1,intrusion,0.377,"[0.206, 0.318, 0.377, 0.099]"
360,1,intrusion,0.373,"[0.204, 0.326, 0.373, 0.097]"
361,1,intrusion,0.37,"[0.202, 0.333, 0.37, 0.095]"
362,1,intrusion,0.365,"[0.201, 0.339, 0.365, 0.095]"
363,1,intrusion,0.354,"[0.204, 0.345, 0.354, 0.097]"
410,2,assault,0.439,"[0.439, 0.294, 0.02, 0.246]"
411,2,assault,0.417,"[0.417, 0.327, 0.024, 0.231]"
412,2,assault,0.395,"[0.395, 0.36, 0.029, 0.217]"
413,2,falldown,0.394,"[0.371, 0.394, 0.035, 0.2]"
414,2,falldown,0.431,"[0.346, 0.431, 0.042, 0.182]"
415,2,falldown,0.471,"[0.316, 0.471, 0.053, 0.16]"
416,2,falldown,0.514,"[0.281, 0.514, 0.067, 0.137]"
417,2,falldown,0.56,"[0.237, 0.56, 0.09, 0.113]"
418,2,falldown,0.562,"[0.236, 0.562, 0.09, 0.113]"
419,2,falldown,0.562,"[0.236, 0.562, 0.09, 0.113]"
420,2,falldown,0.562,"[0.235, 0.562, 0.09, 0.112]"
421,2,falldown,0.562,"[0.235, 0.562, 0.09, 0.113]"
422,2,falldown,0.561,"[0.236, 0.561, 0.09, 0.113]"
423,2,falldown,0.561,"[0.236, 0.561, 0.09, 0.113]"
424,2,falldown,0.56,"[0.236, 0.56, 0.09, 0.114]"
425,2,falldown,0.56,"[0.237, 0.56, 0.089, 0.114]"
426,2,falldown,0.558,"[0.238, 0.558, 0.089, 0.115]"
427,2,falldown,0.556,"[0.239, 0.556, 0.089, 0.117]"
428,2,falldown,0.553,"[0.241, 0.553, 0.088, 0.118]"
429,2,falldown,0.551,"[0.243, 0.551, 0.087, 0.119]"
430,2,falldown,0.548,"[0.245, 0.548, 0.086, 0.12]"
431,2,assault,0.398,"[0.398, 0.395, 0.081, 0.125]"
432,2,assault,0.401,"[0.401, 0.393, 0.081, 0.125]"
433,2,assault,0.401,"[0.401, 0.393, 0.082, 0.124]"
434,2,assault,0.399,"[0.399, 0.394, 0.084, 0.123]"
435,2,assault,0.395,"[0.395, 0.315, 0.075, 0.216]"
436,2,assault,0.388,"[0.388, 0.32, 0.079, 0.213]"
